Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,MA_50,MA_200,Price_MA50_Ratio,Price_MA200_Ratio,Volatility_20d,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_Abs,Gap,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Year,Month,Day,DayOfWeek,Quarter,Cumulative_Return,Drawdown
2011-02-28,4338.4501953125,4404.75,4317.7998046875,4331.0498046875,0,0.06815246793501206,0.06812925468691942,,,,,1.1282197772873168,0.0,,2.0076009104858064,86.9501953125,0.23913720622715678,41.415464016886446,-73.26714080624788,-62.168918674853245,-11.098222131394635,4467.220043945313,4664.412376447373,4270.027711443252,394.3846650041214,0.15472734783846206,85.30357142857143,2011,2,28,0,1,0.9235041974198076,-7.64958025801924
2011-03-01,4334.60009765625,4481.5498046875,4334.60009765625,4473.64990234375,0,3.292506530447037,3.2394646658726813,,,,,1.3744398449064124,0.0,,3.2847833478042814,146.94970703125,0.08197303491886687,57.71594584026616,-63.39666274422689,-62.41446748872798,-0.9821952554989082,4459.4400390625,4641.40587905453,4277.47419907047,363.9316799840599,0.5390454144631562,88.06072126116071,2011,3,1,1,1,0.9539106334288072,-4.608936657119267
2011-03-03,4458.89990234375,4485.5498046875,4425.0,4456.39990234375,0,-0.3855911923497324,-0.38633651172864614,,,,,1.3746035170440603,0.0,,1.3587156901169284,60.5498046875,-0.329708410849773,54.86336120136602,-56.31698149627027,-61.19497029023644,4.877988793966168,4450.750024414063,4614.0191450101,4287.480903818026,326.53824119207457,0.5173023469136768,87.90712193080357,2011,3,3,3,1,0.9502324380434182,-4.976756195658172
2011-03-04,4481.85009765625,4499.7001953125,4438.10009765625,4446.75,0,-0.21654031404755303,-0.21677510158660754,,,,,1.371160733209197,0.0,,1.3852835814077697,61.60009765625,0.5710931664619013,51.45083275900776,-50.898226500406054,-59.13562153227037,8.237395031864317,4441.042529296875,4577.6126517561715,4304.472406837578,273.14024491859345,0.5208957515756283,87.335693359375,2011,3,4,4,1,0.9481748017378973,-5.182519826210264
2011-03-07,4433.64990234375,4438.39990234375,4375.35009765625,4427.35009765625,0,-0.4362714869005413,-0.43722592793292747,,,,,1.340712857457514,0.0,,1.4240980111529309,63.0498046875,-0.29459937384044527,42.08485953382952,-47.62029697265916,-56.83255662034813,9.212259647688967,4433.747534179687,4555.349534210781,4312.1455341485935,243.20400006218733,0.47369518378891257,85.53927176339286,2011,3,7,0,1,0.9440381854319391,-5.596181456806093
2011-03-08,4440.9501953125,4472.25,4432.4501953125,4447.2001953125,0,0.44835165998637905,0.4473495581084668,,,,,1.302243703628879,0.0,,0.8949407029045003,39.7998046875,0.307183695805977,45.41626228142413,-42.92595354702917,-54.051236005684345,11.125282458655178,4431.0975341796875,4548.851102345396,4313.343966013979,235.5071363314164,0.5683744084516916,81.33925083705357,2011,3,8,1,1,0.9482707963072284,-5.172920369277156
2011-03-09,4451.75,4466.85009765625,4394.2998046875,4425.0498046875,0,-0.4980749606988022,-0.4993194882042308,,,,,1.2548511553462618,0.0,,1.6395361898954617,72.55029296875,0.10230717052710263,47.53326879094771,-40.52584722584288,-51.346158249716055,10.820311023873174,4430.97001953125,4548.745055886163,4313.194983176337,235.55007270982605,0.47486642744091645,78.02497209821429,2011,3,9,2,1,0.943547696911203,-5.6452303088797
2011-03-10,4424.2001953125,4424.2001953125,4386.25,4395.64990234375,0,-0.6643970947537436,-0.6666140372417243,,,,,1.231857090427512,0.0,,0.8633580052011205,37.9501953125,-0.019199995762759558,42.37506451703932,-40.52888038366473,-49.18270267650579,8.653822292841063,4432.090014648437,4547.964609645384,4316.21541965149,231.7491899938941,0.34276056237500807,76.27852957589286,2011,3,10,3,1,0.9372787934253091,-6.2721206574690935
2011-03-11,4384.89990234375,4429.35009765625,4345.2001953125,4386.85009765625,0,-0.20019348408089055,-0.20039413907977904,,,,,1.22863149432147,0.0,,1.9182306317854017,84.14990234375,-0.24455996812366987,42.80602894563337,-40.77136792815509,-47.500435726835654,6.729067798680568,4431.762524414063,4548.133490850437,4315.3915579776885,232.7419328727483,0.30702907205652297,77.92138671875,2011,3,11,4,1,0.9354024223531996,-6.459757764680041
2011-03-14,4381.0,4428.75,4364.7001953125,4419.85009765625,3765000,0.7522481795680935,0.7494329027138072,,,,,1.2269194960244563,188250.0,20.0,1.449139750722863,64.0498046875,-0.13335531249119992,42.69273046067719,-37.86424144103967,-45.57319686967646,7.708955428636791,4431.32001953125,4547.807263494881,4314.832775567619,232.9744879272621,0.4507674768295606,76.75352260044643,2011,3,14,0,1,0.9424389700469874,-5.75610299530126
